node1,relation,node2
Terminal_cpn-001,D2D协作,Terminal_cpn-079
Terminal_cpn-002,D2D协作,Terminal_cpn-080
Terminal_cpn-003,D2D协作,Terminal_cpn-081
Terminal_cpn-004,D2D协作,Terminal_cpn-082
Terminal_cpn-005,D2D协作,Terminal_cpn-083
Terminal_cpn-006,D2D协作,Terminal_cpn-084
Terminal_cpn-007,D2D协作,Terminal_cpn-085
Terminal_cpn-008,D2D协作,Terminal_cpn-086
Terminal_cpn-009,D2D协作,Terminal_cpn-087
Terminal_cpn-010,D2D协作,Terminal_cpn-088
Terminal_cpn-011,D2D协作,Terminal_cpn-089
Terminal_cpn-012,D2D协作,Terminal_cpn-090
Terminal_cpn-013,D2D协作,Terminal_cpn-091
Terminal_cpn-014,D2D协作,Terminal_cpn-092
Terminal_cpn-015,D2D协作,Terminal_cpn-093
Terminal_cpn-016,D2D协作,Terminal_cpn-094
Terminal_cpn-017,D2D协作,Terminal_cpn-095
Terminal_cpn-018,D2D协作,Terminal_cpn-096
Terminal_cpn-019,D2D协作,Terminal_cpn-097
Terminal_cpn-020,D2D协作,Terminal_cpn-098
Terminal_cpn-021,D2D协作,Terminal_cpn-099
Terminal_cpn-022,D2D协作,Terminal_cpn-100
Terminal_cpn-023,D2D协作,Terminal_cpn-101
Terminal_cpn-024,D2D协作,Terminal_cpn-102
Terminal_cpn-025,D2D协作,Terminal_cpn-103
Terminal_cpn-026,D2D协作,Terminal_cpn-104
Terminal_cpn-027,D2D协作,Terminal_cpn-105
Terminal_cpn-028,D2D协作,Terminal_cpn-106
Terminal_cpn-029,D2D协作,Terminal_cpn-107
Terminal_cpn-030,D2D协作,Terminal_cpn-108
Terminal_cpn-031,D2D协作,Terminal_cpn-109
Terminal_cpn-032,D2D协作,Terminal_cpn-110
Terminal_cpn-033,D2D协作,Terminal_cpn-111
Terminal_cpn-034,D2D协作,Terminal_cpn-112
Terminal_cpn-035,D2D协作,Terminal_cpn-113
Terminal_cpn-036,D2D协作,Terminal_cpn-114
Terminal_cpn-037,D2D协作,Terminal_cpn-115
Terminal_cpn-038,D2D协作,Terminal_cpn-116
Terminal_cpn-039,D2D协作,Terminal_cpn-117
Terminal_cpn-040,D2D协作,Terminal_cpn-118
Terminal_cpn-041,D2D协作,Terminal_cpn-119
Terminal_cpn-042,D2D协作,Terminal_cpn-120
Terminal_cpn-043,D2D协作,Terminal_cpn-121
Terminal_cpn-044,D2D协作,Terminal_cpn-122
Terminal_cpn-045,D2D协作,Terminal_cpn-123
Terminal_cpn-046,D2D协作,Terminal_cpn-124
Terminal_cpn-047,D2D协作,Terminal_cpn-125
Terminal_cpn-048,D2D协作,Terminal_cpn-126
Terminal_cpn-049,D2D协作,Terminal_cpn-127
Terminal_cpn-050,D2D协作,Terminal_cpn-128
Terminal_cpn-051,D2D协作,Terminal_cpn-129
Terminal_cpn-052,D2D协作,Terminal_cpn-130
Terminal_cpn-053,D2D协作,Terminal_cpn-131
Terminal_cpn-054,D2D协作,Terminal_cpn-132
Terminal_cpn-055,D2D协作,Terminal_cpn-133
Terminal_cpn-056,D2D协作,Terminal_cpn-134
Terminal_cpn-057,D2D协作,Terminal_cpn-135
Terminal_cpn-058,D2D协作,Terminal_cpn-136
Terminal_cpn-059,D2D协作,Terminal_cpn-137
Terminal_cpn-060,D2D协作,Terminal_cpn-138
Terminal_cpn-061,D2D协作,Terminal_cpn-139
Terminal_cpn-062,D2D协作,Terminal_cpn-140
Terminal_cpn-063,D2D协作,Terminal_cpn-141
Terminal_cpn-064,D2D协作,Terminal_cpn-142
Terminal_cpn-065,D2D协作,Terminal_cpn-143
Terminal_cpn-066,D2D协作,Terminal_cpn-144
Terminal_cpn-067,D2D协作,Terminal_cpn-145
Terminal_cpn-068,D2D协作,Terminal_cpn-146
Terminal_cpn-069,D2D协作,Terminal_cpn-147
Terminal_cpn-070,D2D协作,Terminal_cpn-148
Terminal_cpn-071,D2D协作,Terminal_cpn-149
Terminal_cpn-072,D2D协作,Terminal_cpn-150
Terminal_cpn-073,D2D协作,Terminal_cpn-151
Terminal_cpn-074,D2D协作,Terminal_cpn-152
Terminal_cpn-075,D2D协作,Terminal_cpn-153
Terminal_cpn-076,D2D协作,Terminal_cpn-154
Terminal_cpn-077,D2D协作,Terminal_cpn-155
Terminal_cpn-078,D2D协作,Terminal_cpn-156
